assignmentName,className,type,time
Carolyn Smith,ENTIN243,Test,2024-02-25 11:00:00
Melissa Collins,ENTIN243,Assignment,2024-04-24 21:00:00
Roberto Fisher,ENTIN243,Quiz,2024-01-01 15:00:00
Timothy Long,PRMGT397,Assignment,2024-01-22 09:00:00
Leslie Lawson,PRMGT397,Assignment,2024-04-18 18:00:00
Raymond Soto,PRMGT397,Quiz,2024-05-23 00:00:00
Penny Mcneil,ENGEN189,Assignment,2024-03-19 00:00:00
Gilbert Morgan,ENGEN189,Quiz,2024-04-26 22:00:00
Cassandra Camacho,ENGEN189,Quiz,2024-05-27 19:00:00
Larry Rich,INDIP752,Test,2024-04-15 10:00:00
Raymond Garcia,INDIP752,Assignment,2024-01-23 11:00:00
Maxwell Thomas PhD,INDIP752,Quiz,2024-02-20 12:00:00
Robert Townsend,DIGIB262,Quiz,2024-01-19 19:00:00
Caitlin Holden,DIGIB262,Quiz,2024-04-23 12:00:00
Marissa Brown,HDEVP690,Test,2024-04-25 12:00:00
Melanie Gonzalez,HDEVP690,Quiz,2024-03-15 01:00:00
Isaac Johnson,EDART198,Quiz,2024-02-25 00:00:00
Brett James,ENGME271,Test,2024-03-18 05:00:00
Randall Rodriguez,ENGME271,Test,2024-03-13 17:00:00
Frank Evans,ENGME271,Assignment,2024-03-27 07:00:00
Larry Melendez,SOCPY243,Assignment,2024-04-25 18:00:00
Darren Jackson,SOCPY243,Assignment,2024-05-05 00:00:00
Sarah Simmons,BIOMD690,Test,2024-05-03 22:00:00
Alexis Roy,ARTSC189,Quiz,2024-04-14 05:00:00
Eileen Love,ARTSC189,Quiz,2024-01-29 12:00:00
Kathleen Lynn,CMYHE517,Assignment,2024-03-15 19:00:00
Rita Graham,CMYHE517,Quiz,2024-01-23 16:00:00
Jared Jones,CMYHE517,Assignment,2024-01-19 00:00:00
Bethany Macdonald,AIMLX198,Test,2024-04-19 02:00:00
Mary Dorsey,THSTS752,Test,2024-02-04 10:00:00
Belinda Guerra,THSTS752,Quiz,2024-05-23 05:00:00
Alejandro Pratt,SCTED189,Assignment,2024-04-24 19:00:00
Tiffany Norton,SCTED189,Test,2024-01-23 23:00:00
Daniel Green,CLIMT682,Test,2024-02-14 13:00:00
Angela Newton,PHYSC254,Quiz,2024-01-25 19:00:00
Patricia Martin,PHYSC254,Assignment,2024-04-22 14:00:00
Joseph Kent,MAORI690,Quiz,2024-05-02 10:00:00
Christopher Moreno,MAORI690,Assignment,2024-05-18 06:00:00
Mark Hutchinson,MAORI690,Assignment,2024-05-27 13:00:00
Russell Brennan,NURSE966,Assignment,2024-05-03 10:00:00
Ralph Abbott,PACIS614,Test,2024-05-24 23:00:00
Michael May,PACIS614,Assignment,2024-03-06 17:00:00
Terri Chase,PACIS614,Assignment,2024-05-19 00:00:00
Keith Mcintyre,LCOMM614,Test,2024-02-25 00:00:00
Lindsey Smith,LCOMM614,Assignment,2024-04-27 05:00:00
Kyle Anderson,CRIMN867,Quiz,2024-01-30 00:00:00
Tasha Walsh,CRIMN867,Quiz,2024-04-12 04:00:00
Jillian Rogers,CRIMN867,Assignment,2024-01-16 18:00:00
Aaron Summers,LEGAL254,Test,2024-01-18 16:00:00
Thomas Lopez,LEGAL254,Quiz,2024-04-04 07:00:00
Jesse Jackson,LEGAL254,Quiz,2024-01-21 23:00:00
Erin Garrett,PHILO812,Assignment,2024-01-15 22:00:00
Savannah Alvarez,PHILO812,Assignment,2024-05-07 00:00:00
Kathleen Watson,INMGT208,Assignment,2024-05-25 14:00:00
Anita Graham,INMGT208,Test,2024-03-07 13:00:00
Whitney Newman,INMGT208,Assignment,2024-04-01 11:00:00
Alexis Sullivan,TEEDU189,Quiz,2024-03-10 11:00:00
Taylor Allen,TEEDU189,Assignment,2024-01-26 08:00:00
Stephen Miller,MGSYS925,Quiz,2024-01-22 15:00:00
Amber Wallace,MGSYS925,Quiz,2024-05-23 08:00:00
Michael Johnson,SOCIO243,Assignment,2024-05-02 03:00:00
Carrie Thompson,SCIED614,Assignment,2024-01-25 06:00:00
Nicholas Brady,POLCY867,Quiz,2024-01-20 17:00:00
Robin Walker,POLCY867,Assignment,2024-05-13 13:00:00
Regina Cross,POLCY867,Quiz,2024-03-15 06:00:00
Kaitlyn Savage,CHINE271,Quiz,2024-02-07 09:00:00
David Johnson,CHINE271,Assignment,2024-05-16 10:00:00
Karen Phillips,CHINE271,Assignment,2024-03-06 03:00:00
Charles Hanson,CAENL611,Quiz,2024-03-21 14:00:00
Kristin Wilson DDS,CAENL611,Quiz,2024-05-21 11:00:00
Patrick Durham,ENGME867,Assignment,2024-03-27 13:00:00
Cheryl Le,SOCWK254,Test,2024-02-18 06:00:00
David Jackson,SOCWK254,Quiz,2024-03-12 18:00:00
William Reynolds,SOCWK254,Assignment,2024-01-11 20:00:00
Cynthia Robinson,EDSOC680,Test,2024-04-14 16:00:00
Christina Ortega,ARTSW198,Assignment,2024-03-07 15:00:00
Tristan Robinson,ARTSW198,Assignment,2024-04-10 04:00:00
Brianna Hubbard,GLOBE262,Assignment,2024-03-11 15:00:00
Jesse Davis,GLOBE262,Quiz,2024-05-08 19:00:00
Kim Martin,ACCTN951,Quiz,2024-05-26 18:00:00
Clifford Porter,ACCTN951,Assignment,2024-05-12 16:00:00
Charles Lane,MAORI806,Assignment,2024-01-20 17:00:00
Megan Warren,MAORI806,Quiz,2024-01-05 18:00:00
Rebecca Davies,APHYS951,Test,2024-02-14 03:00:00
Miss Kelly Carr MD,APHYS951,Quiz,2024-01-25 15:00:00
Roger Adams,APHYS951,Quiz,2024-04-17 06:00:00
Christopher Daniel,LABST966,Assignment,2024-04-22 16:00:00
Matthew Floyd,POPST951,Quiz,2024-01-22 11:00:00
Darren Chambers,POPST951,Assignment,2024-04-04 16:00:00
Rachael Cordova,POPST951,Quiz,2024-03-02 15:00:00
Erik Shaw,SOCWK271,Assignment,2024-02-17 22:00:00
Carol Montes,EARTH397,Assignment,2024-03-12 07:00:00
Andrew Reid,EARTH397,Test,2024-03-17 01:00:00
Terry Blackwell,ENGCB680,Assignment,2024-03-25 04:00:00
Christian Cortez,ENGCB680,Test,2024-03-04 15:00:00
Brian Peck,LABST820,Assignment,2024-04-16 03:00:00
James Turner,DLRNG254,Assignment,2024-02-27 00:00:00
Jeremy Anderson,DLRNG254,Test,2024-01-30 16:00:00
Brittany Bailey,ENSLA271,Assignment,2024-02-06 17:00:00
Catherine Bush,ENSLA271,Assignment,2024-02-08 14:00:00
Toni Sanchez,EXCOR614,Test,2024-01-01 03:00:00
William Winters,ENGLI682,Test,2024-04-03 15:00:00
Timothy Suarez,BIOMO669,Quiz,2024-03-09 12:00:00
Kristina Wagner,DIGIB752,Test,2024-05-01 15:00:00
Misty Powell,SCIED517,Quiz,2024-03-11 02:00:00
Derek Osborne,EDLED397,Test,2024-01-24 17:00:00
Austin Guerrero,EDLED397,Test,2024-02-25 13:00:00
Beth Taylor,EDLED397,Assignment,2024-03-21 17:00:00
Rebecca Wade,CAENL669,Assignment,2024-02-28 02:00:00
Alexander Vazquez,CAENL669,Assignment,2024-04-01 01:00:00
Jeremy Williams,CAENL669,Assignment,2024-02-07 13:00:00
Ashley Baker DDS,BIOMD243,Quiz,2024-03-01 08:00:00
Lisa Malone,BIOMD243,Assignment,2024-03-12 06:00:00
Terry Kelly,BIOMD243,Quiz,2024-02-20 05:00:00
Deborah Haynes,HDEVP925,Assignment,2024-04-13 17:00:00
Whitney Obrien,HDEVP925,Quiz,2024-02-10 05:00:00
Joshua Simon,DATAA189,Quiz,2024-03-24 14:00:00
Lisa Daniels,APHYS690,Quiz,2024-03-25 13:00:00
Mallory Walker,APHYS690,Assignment,2024-01-31 08:00:00
Mitchell Howard,MGSYS752,Quiz,2024-05-27 09:00:00
Julie Snyder,MGSYS752,Assignment,2024-05-07 04:00:00
Jessica Mcclain,MGSYS752,Test,2024-03-18 18:00:00
Mallory Sanchez,SOCWK925,Assignment,2024-04-18 10:00:00
Michael Moreno,SOCWK925,Test,2024-03-09 18:00:00
Paul Robinson Jr.,SOCWK925,Quiz,2024-04-24 19:00:00
Nicholas Howell,CMYHE680,Assignment,2024-05-15 22:00:00
Mr. Jon Wilson MD,CMYHE680,Quiz,2024-01-24 09:00:00
Michael Brown,GLOBE517,Test,2024-02-20 08:00:00
Jeremy Williams,GLOBE517,Assignment,2024-05-09 16:00:00
Damon Gray,GLOBE517,Test,2024-01-10 17:00:00
Holly Zuniga,ENGME243,Assignment,2024-05-16 00:00:00
Thomas Hayden,ENGME243,Assignment,2024-02-11 22:00:00
Daniel Johnson,TECED254,Test,2024-03-26 10:00:00
Chloe Carter,ENVPL682,Assignment,2024-05-12 14:00:00
Michael Cantu,ENVPL682,Assignment,2024-03-16 03:00:00
Anthony Salazar,ENGEN669,Assignment,2024-01-06 01:00:00
Katherine Castro,ENGEN669,Test,2024-02-02 18:00:00
Cristian Henry,MNMGT254,Quiz,2024-03-17 08:00:00
Ethan Greer,MNMGT254,Quiz,2024-05-25 23:00:00
Brenda Dodson,LABST517,Assignment,2024-02-19 09:00:00
Heather Buck,LABST517,Quiz,2024-03-06 10:00:00
Jim Blair,LABST517,Quiz,2024-01-14 00:00:00
Joshua Chavez,EDUCA752,Assignment,2024-04-24 10:00:00
James Terry,HTHPR271,Test,2024-05-09 06:00:00
Ashley Garcia,HTHPR271,Test,2024-02-27 16:00:00
Holly Perez,SOCWK752,Assignment,2024-02-27 03:00:00
Cindy Mejia,PHILO189,Quiz,2024-05-24 22:00:00
Matthew Austin,DATAA812,Assignment,2024-05-04 02:00:00
Nicole Jarvis,DATAA812,Test,2024-03-06 16:00:00
Morgan Jackson,DATAA812,Assignment,2024-03-14 23:00:00
Richard Acosta,EDSOC867,Test,2024-01-22 15:00:00
David Diaz,EDSOC867,Assignment,2024-04-25 09:00:00
James Johnson,SPNSH682,Quiz,2024-03-11 21:00:00
Brian Gomez,SPNSH682,Test,2024-01-22 08:00:00
John Garza,INDIP867,Test,2024-05-20 22:00:00
Evan Myers,KOREA611,Assignment,2024-05-25 16:00:00
Eileen George,COMPX966,Test,2024-03-13 17:00:00
Krista Thompson,COMPX966,Test,2024-03-11 16:00:00
Eric Strickland PhD,COMPX966,Quiz,2024-04-08 07:00:00
Eric Rhodes,TECED179,Assignment,2024-03-01 03:00:00
Jacob Golden,TECED179,Test,2024-04-17 03:00:00
Ryan Harmon,TECED179,Test,2024-03-12 03:00:00
Austin Hernandez,SPNSH966,Test,2024-05-20 19:00:00
Maria Ayala,SPNSH966,Test,2024-02-14 11:00:00
Kelly Lowe,SPNSH966,Test,2024-03-30 10:00:00
Rebekah Burke,HDEVP537,Quiz,2024-04-12 19:00:00
Abigail Stone,HDEVP537,Test,2024-04-08 15:00:00
Ashley Rose,HDEVP537,Quiz,2024-04-10 21:00:00
Robert Rowe,PACIS179,Assignment,2024-03-26 00:00:00
Charles Monroe,PACIS179,Test,2024-05-28 14:00:00
David Johnson,PACIS179,Test,2024-01-21 20:00:00
Ann Hull,TEACH903,Assignment,2024-02-08 02:00:00
Walter Castro,TEACH903,Assignment,2024-05-05 23:00:00
Danielle Barron MD,CMYHE951,Quiz,2024-01-27 21:00:00
Gregory Berry,CMYHE951,Quiz,2024-02-08 22:00:00
William Alvarez,LINGS812,Quiz,2024-01-22 10:00:00
Brady Herrera,LINGS812,Quiz,2024-05-10 07:00:00
Jonathan Ewing,THEDR397,Quiz,2024-01-16 01:00:00
Evan Barber,THEDR397,Test,2024-01-07 05:00:00
Cody Proctor,COMPX951,Quiz,2024-03-21 23:00:00
Carrie Parker,CLIMT378,Assignment,2024-02-27 00:00:00
Vanessa Williams,CLIMT378,Quiz,2024-05-10 17:00:00
Ryan Leblanc,SCTED966,Test,2024-04-29 06:00:00
Henry Lewis,ANTHY690,Quiz,2024-05-23 11:00:00
Lisa Massey,EARTH254,Assignment,2024-03-29 01:00:00
Veronica Baker,EARTH254,Test,2024-02-23 05:00:00
Lauren Simmons,HDEVP680,Quiz,2024-02-20 16:00:00
Gregory Terry,HDEVP680,Quiz,2024-05-02 18:00:00
Sarah Jenkins,SOCWK820,Quiz,2024-02-01 18:00:00
William Wu,SOCWK820,Quiz,2024-05-18 19:00:00
Jeffrey Ingram,ENGME951,Assignment,2024-01-04 04:00:00
Alex Fuentes,ENGME951,Test,2024-03-19 17:00:00
Janet Simmons,WRITE682,Quiz,2024-01-07 23:00:00
Jacob Murphy,ENGME925,Test,2024-05-25 08:00:00
Melanie Gutierrez,ENGME925,Test,2024-04-16 08:00:00
Christopher Johnson,PHILO682,Quiz,2024-01-12 01:00:00
Alexis White,AGBUS752,Test,2024-02-12 12:00:00
William Ramirez,AGBUS752,Quiz,2024-05-24 01:00:00
Tina Johnson,COMMS903,Test,2024-04-11 08:00:00
John Robles,COMMS903,Quiz,2024-01-17 13:00:00
James Rodriguez,DSIGN707,Assignment,2024-04-29 02:00:00
Linda Campbell,DSIGN707,Assignment,2024-05-10 06:00:00
Alexandra Velez,MTHED820,Quiz,2024-04-29 19:00:00
Anita Davis,MTHED820,Test,2024-04-07 22:00:00
Shannon Stewart,MTHED820,Quiz,2024-04-23 04:00:00
Andrea Hurley,MAOED820,Quiz,2024-01-02 13:00:00
Kenneth Richardson,MAOED820,Assignment,2024-03-10 11:00:00
David Perry,MAOED820,Quiz,2024-05-24 06:00:00
Matthew Lopez,LINGS208,Assignment,2024-05-26 07:00:00
Brenda Hebert,LINGS208,Test,2024-05-13 00:00:00
Thomas Bowen,MNMGT820,Test,2024-03-31 02:00:00
Emily Houston,ENVPL262,Test,2024-02-04 19:00:00
Henry Martin,EXMBM254,Assignment,2024-04-15 14:00:00
Ricardo Gonzalez,EXMBM254,Assignment,2024-01-23 14:00:00
James Mejia,CRIMN378,Test,2024-02-05 19:00:00
Christine Ramos,CRIMN378,Test,2024-04-07 21:00:00
Gary Harrell,CRIMN378,Test,2024-03-20 03:00:00
Robert Hall,SOCPY466,Assignment,2024-04-09 04:00:00
Destiny Osborn,SDCOA254,Test,2024-03-14 15:00:00
Kayla Shields,MTHED208,Test,2024-03-29 11:00:00
Alexander Alexander,EVSOC614,Quiz,2024-04-08 21:00:00
Hannah Santos,EVSOC614,Test,2024-03-26 13:00:00
Kim Brown,TEACH282,Test,2024-03-22 04:00:00
Jeffrey Bennett,TEACH282,Quiz,2024-02-15 23:00:00
Jay Lewis,GEOGY271,Test,2024-03-30 00:00:00
Richard Smith,GEOGY271,Quiz,2024-02-25 21:00:00
Michelle Fernandez,ADLNG690,Quiz,2024-01-24 09:00:00
Chelsey Oneill,ADLNG690,Assignment,2024-01-24 02:00:00
Penny Everett,CAAEN282,Assignment,2024-05-24 13:00:00
Cathy Tucker,CAAEN282,Quiz,2024-01-16 20:00:00
Cynthia Johnson,CAAEN282,Test,2024-04-30 13:00:00
Jennifer Livingston,MNMGT903,Quiz,2024-02-17 14:00:00
Ryan Gray,MNMGT903,Quiz,2024-01-14 05:00:00
Samuel Holloway,COUNS867,Quiz,2024-01-08 11:00:00
Theresa Owens,SOCWK611,Assignment,2024-03-06 22:00:00
Deanna Terry,SPNSH925,Test,2024-02-29 00:00:00
Brian Martin,SPNSH925,Assignment,2024-02-06 06:00:00
Benjamin Adkins,SPNSH925,Test,2024-04-09 16:00:00
Ashlee Ali,CHINE867,Test,2024-04-12 16:00:00
Angel Ramos,CHINE867,Test,2024-01-08 01:00:00
Jasmine Smith,BIOMD680,Test,2024-01-24 09:00:00
Kristin Dixon,BIOMD680,Quiz,2024-02-17 18:00:00
Christopher Ibarra,THMGT254,Assignment,2024-05-03 19:00:00
Chase Boone,THMGT254,Quiz,2024-02-19 17:00:00
Sabrina Keller,THMGT254,Test,2024-04-26 23:00:00
Dawn Cordova,LEADR680,Quiz,2024-01-08 12:00:00
Elizabeth Obrien,LEADR680,Assignment,2024-02-17 03:00:00
Edward Santiago,BIOMD867,Assignment,2024-02-17 01:00:00
Angelica Alexander,LCOMM812,Quiz,2024-04-08 17:00:00
Chad Davis,LCOMM812,Assignment,2024-02-21 10:00:00
Zachary Wilson,SOCIO966,Quiz,2024-02-01 09:00:00
Sharon Rodriguez,SOCIO966,Assignment,2024-04-27 23:00:00
Reginald Pena,FINAN179,Test,2024-02-19 09:00:00
Caitlin Brady,NURSE867,Quiz,2024-05-17 00:00:00
Thomas Long,NURSE867,Test,2024-03-15 23:00:00
James Reeves,DSIGN179,Quiz,2024-02-20 15:00:00
Stephanie Lindsey,CLIMT812,Assignment,2024-04-23 19:00:00
Lee Reynolds,CLIMT812,Assignment,2024-01-16 14:00:00
Anthony James,CLIMT812,Test,2024-03-26 03:00:00
Stephanie Long,SOCIO397,Test,2024-05-25 20:00:00
Ashley Garcia,FINAN752,Quiz,2024-01-26 09:00:00
Ricky Young,FINAN752,Test,2024-03-11 00:00:00
Rhonda Huff,SOCIO867,Quiz,2024-03-03 15:00:00
Karen White,SOCIO867,Quiz,2024-01-10 20:00:00
Audrey Estrada,SOCIO867,Quiz,2024-05-07 03:00:00
Phillip Meyer,POLCY966,Quiz,2024-04-18 19:00:00
Jennifer Roberts,POLCY966,Quiz,2024-05-21 03:00:00
Vanessa Colon,POLCY966,Quiz,2024-03-18 10:00:00
Kristina Gilbert,ENGEE198,Quiz,2024-02-16 17:00:00
Kayla Mullins,POLCY820,Assignment,2024-05-08 22:00:00
Kristen Blevins,POLCY820,Test,2024-04-20 00:00:00
Joseph Bernard,POLCY820,Quiz,2024-05-10 06:00:00
Thomas Brooks,ENGCB189,Assignment,2024-01-02 10:00:00
Jessica Davis,POLCY812,Test,2024-04-10 18:00:00
Casey Paul,POLCY812,Test,2024-04-21 16:00:00
Patrick Bailey,ENGMP820,Test,2024-04-26 06:00:00
Kathy Morris,ENGMP820,Quiz,2024-05-27 06:00:00
Brad Pope,ENGMP820,Test,2024-05-19 22:00:00
Jon Gardner,INMGT707,Test,2024-02-17 23:00:00
Holly Buck,INMGT707,Test,2024-05-04 13:00:00
David Brown,INMGT707,Quiz,2024-01-17 05:00:00
David Shah,POPST903,Quiz,2024-03-08 09:00:00
Tanya Morales,POPST903,Quiz,2024-03-01 21:00:00
Nancy Brown,APHYS903,Assignment,2024-01-15 21:00:00
Rachel Bowman,APHYS903,Test,2024-05-03 01:00:00
Heather Donaldson,APHYS903,Assignment,2024-03-02 07:00:00
Aaron Mckee,ACCTN243,Assignment,2024-02-17 05:00:00
Calvin Melton,ACCTN243,Test,2024-03-12 05:00:00
Alexa Sharp,GLOBE903,Test,2024-04-19 00:00:00
Rhonda Brown,GLOBE903,Quiz,2024-05-19 05:00:00
Edward Rojas,GLOBE903,Test,2024-05-06 23:00:00
Dominic Monroe,HISTY208,Test,2024-05-15 10:00:00
Kathryn Brooks,ENGEV690,Quiz,2024-02-12 15:00:00
Julie Black,MRKTG243,Test,2024-04-15 12:00:00
Cody Bennett,MRKTG243,Test,2024-05-01 12:00:00
Derek Dillon,MRKTG243,Assignment,2024-02-18 01:00:00
James Hernandez,THMGT282,Quiz,2024-04-26 23:00:00
Lance Quinn,ENGEE867,Quiz,2024-04-09 04:00:00
Mr. Joseph Franco,TEPRO378,Test,2024-03-03 07:00:00
Edward Wallace,TEPRO378,Quiz,2024-02-09 22:00:00
Brian Garrett,TEPRO378,Quiz,2024-03-02 12:00:00
Kelsey Murphy,DANCE820,Test,2024-03-02 09:00:00
Wendy Dixon,DANCE820,Test,2024-01-22 22:00:00
Diamond Molina,DANCE820,Test,2024-03-07 07:00:00
Nicholas Green,LEADR925,Quiz,2024-05-04 09:00:00
Brett Moran,FPSYC820,Quiz,2024-04-27 13:00:00
Jack Gonzalez,FPSYC820,Test,2024-04-28 10:00:00
Lisa Lopez,FPSYC820,Assignment,2024-02-15 03:00:00
Ana Jensen,JAPAN690,Test,2024-05-04 13:00:00
Lisa Roberts,JAPAN690,Assignment,2024-05-21 08:00:00
Sarah Mercado,CAAEN378,Test,2024-03-23 01:00:00
Jamie Miller,SCIED707,Assignment,2024-05-08 03:00:00
Ashley Baker,SCIED707,Assignment,2024-04-17 19:00:00
Mason Hughes,SCIED707,Assignment,2024-01-13 07:00:00
William Stone,TWEDR806,Quiz,2024-03-15 16:00:00
Aaron Stark,PRMGT951,Quiz,2024-05-16 05:00:00
Patrick Bell,MNMGT611,Test,2024-05-16 11:00:00
James Daugherty,MNMGT611,Assignment,2024-04-15 17:00:00
Charles Morgan,MNMGT611,Test,2024-03-28 13:00:00
Robert Lee,WGSTS951,Assignment,2024-02-17 17:00:00
Dr. Clifford Fields DVM,CRIMN397,Test,2024-01-25 12:00:00
Janet Cross,EXCOR397,Assignment,2024-04-17 13:00:00
Thomas Wolfe,EXMBA680,Test,2024-01-03 11:00:00
Jared Wright,EXMBA680,Quiz,2024-05-15 16:00:00
Maria Jones,COUNS611,Quiz,2024-04-29 01:00:00
Clinton Clark,COUNS611,Test,2024-04-25 06:00:00
Kenneth Smith,PSYCH680,Test,2024-02-14 06:00:00
Paige Harris,BIOMO925,Assignment,2024-05-27 21:00:00
Scott White,BIOMO925,Quiz,2024-05-28 07:00:00
Lawrence Adams,WRITE537,Quiz,2024-04-24 05:00:00
Logan Donaldson,WRITE537,Quiz,2024-05-26 23:00:00
Jay Richards,TOEDR179,Assignment,2024-05-05 00:00:00
Jeffrey Wagner,TOEDR179,Quiz,2024-01-30 11:00:00
Jessica Flores,TOEDR179,Test,2024-05-26 05:00:00
Abigail Caldwell,MUSIC925,Quiz,2024-02-23 20:00:00
Olivia Hester,MUSIC925,Assignment,2024-01-21 21:00:00
Rachel Garcia,PHYSC282,Quiz,2024-02-25 11:00:00
Carla Mendoza,PHYSC282,Assignment,2024-03-08 00:00:00
Tara Lucas,PHYSC282,Assignment,2024-03-21 07:00:00
David Moss,EDLED466,Quiz,2024-03-03 14:00:00
Jacob Diaz,EDLED466,Assignment,2024-05-15 07:00:00
Timothy Duran,EDLED466,Quiz,2024-02-18 04:00:00
Henry Freeman,ENGCB271,Test,2024-01-27 06:00:00
Heather Willis,ENGCB271,Assignment,2024-03-28 08:00:00
Jennifer Humphrey,THSTS254,Test,2024-01-30 17:00:00
Brenda Stevens,THSTS254,Assignment,2024-04-30 05:00:00
Andrea Shaw,THSTS254,Quiz,2024-03-28 22:00:00
Nicholas Martin,NURSE189,Quiz,2024-03-11 03:00:00
Mrs. Colleen Herrera,LINGS806,Quiz,2024-03-08 07:00:00
Thomas Skinner,LINGS806,Test,2024-02-26 11:00:00
Mr. George Martin,LINGS806,Test,2024-05-19 14:00:00
Virginia Brown,ENGCV262,Assignment,2024-03-07 03:00:00
Tina Blevins,ENGCV262,Quiz,2024-04-15 19:00:00
Victoria Sellers,ENGCV262,Quiz,2024-04-04 19:00:00
Andrew Hunt,ARTSW680,Test,2024-05-17 01:00:00
Kelly Mendez,ARTSW680,Test,2024-05-22 08:00:00
Anne Mosley,ARTSW680,Test,2024-04-26 02:00:00
Alison Howell,ECONS378,Quiz,2024-04-15 05:00:00
Michele Lam,LEADR517,Test,2024-02-23 00:00:00
Catherine Cox DDS,LEADR517,Quiz,2024-03-01 12:00:00
Robert Beck,LEADR517,Quiz,2024-02-23 03:00:00
Nicholas Myers,ENVPL812,Assignment,2024-01-19 15:00:00
Laura Moss,ENVPL812,Test,2024-03-16 04:00:00
Stacy Carney,EDUCA820,Quiz,2024-02-10 22:00:00
Jessica Sloan,EDUCA820,Test,2024-04-05 10:00:00
Erik Jones,EDUCA820,Assignment,2024-01-10 22:00:00
